,alias,code,title,units,image_file,description
29,P_C_20_b,PAV-PRD1-MAT1-5-8-PAT6-COL1-BST2,Плитка фибробетонная модульная,m2,P_C_20.jpg,"Одноцветное мощение, черная плитка с гладкой 
поверхностью элементов, швы минимальной толщины с засыпкой
цпс, габариты элементов 1200х200 и 1200х300 модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
30,P_C_21_a,PAV-PRD1-MAT1-PAT7-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_21.jpg,"Одноцветное модульное мощение, светло-серая плитка
с гладкой поверхностью элементов, швы
минимальной толщины с засыпкой цпс, габариты элементов
600х1200, модуль раскладки набран из двух типов элементов.
возможно замещение элементов набивным покрытием, либо
растительностью по принципу “исчезающего модуля”."
31,P_C_21_b,PAV-PRD1-MAT1-PAT7-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_21.jpg,"Одноцветное модульное мощение, светло-серая плитка
с гладкой поверхностью элементов, швы
минимальной толщины с засыпкой цпс, габариты элементов
600х1200, модуль раскладки набран из двух типов элементов.
возможно замещение элементов набивным покрытием, либо
растительностью по принципу “исчезающего модуля”."
32,P_C_22_a,PAV-PRD1-MAT1-PAT8-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_22.jpg,"Одноцветное модульное мощение, светло-серая с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
33,P_C_22_b,PAV-PRD1-MAT1-PAT8-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_22.jpg,"Одноцветное модульное мощение, светло-серая с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
34,P_C_23_a,PAV-PRD1-MAT1-5-PAT9-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_23.jpg,"Одноцветное модульное мощение, светло-серая  плитка с
гладкой  поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
600х1200, модуль раскладки набран из двух типов элементов.
возможно замещение элементов набивным покрытием, либо
растительностью по принципу “исчезающего модуля”."
35,P_C_23_b,PAV-PRD1-MAT1-5-PAT9-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_23.jpg,"Одноцветное модульное мощение, светло-серая  плитка с
гладкой  поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
600х1200, модуль раскладки набран из двух типов элементов.
возможно замещение элементов набивным покрытием, либо
растительностью по принципу “исчезающего модуля”."
36,P_C_24_a,PAV-PRD1-MAT1-PAT10-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_24.jpg,"Одноцветное мощение, светло-серая плитка с гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
37,P_C_24_b,PAV-PRD1-MAT1-PAT10-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_24.jpg,"Одноцветное мощение, светло-серая плитка с гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
38,P_C_25_a,PAV-PRD1-MAT1-5-PAT11-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_25.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
39,P_C_25_b,PAV-PRD1-MAT1-5-PAT11-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_25.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
40,P_C_26_a,PAV-PRD1-MAT1-8-PAT12-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_26.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
41,P_C_26_b,PAV-PRD1-MAT1-8-PAT12-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_26.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
42,P_C_27_a,PAV-PRD1-MAT1-5-PAT13-COL1-2-BST1,Плитка фибробетонная модульная,m2,P_C_27.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из трех типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
43,P_C_27_b,PAV-PRD1-MAT1-5-PAT13-COL1-2-BST2,Плитка фибробетонная модульная,m2,P_C_27.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из трех типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
44,P_C_28_a,PAV-PRD1-MAT1-PAT14-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_28.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
45,P_C_28_b,PAV-PRD1-MAT1-PAT14-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_28.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
46,P_C_29_a,PAV-PRD1-MAT1-5-PAT15-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_29.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
47,P_C_29_b,PAV-PRD1-MAT1-5-PAT15-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_29.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
48,P_C_30_a,PAV-PRD1-MAT1-5-PAT16-COL1-2-BST1,Плитка фибробетонная модульная,m2,P_C_30.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
49,P_C_30_b,PAV-PRD1-MAT1-5-PAT16-COL1-2-BST2,Плитка фибробетонная модульная,m2,P_C_30.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
50,P_C_31_a,PAV-PRD1-MAT1-PAT17-COL1-2-BST1,Плитка фибробетонная модульная,m2,P_C_31.jpg,"Двухцветное мощение, черная, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
1200х300, модуль раскладки набран из двух типов элементов."
51,P_C_31_b,PAV-PRD1-MAT1-PAT17-COL1-2-BST2,Плитка фибробетонная модульная,m2,P_C_31.jpg,"Двухцветное мощение, черная, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
1200х300, модуль раскладки набран из двух типов элементов."
52,P_C_32_a,PAV-PRD1-MAT1-PAT18-COL1-2-BST1,Плитка фибробетонная модульная,m2,P_C_32.jpg,"Двухцветное мощение, черная, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
1200х300, модуль раскладки набран из двух типов элементов."
53,P_C_32_b,PAV-PRD1-MAT1-PAT18-COL1-2-BST2,Плитка фибробетонная модульная,m2,P_C_32.jpg,"Двухцветное мощение, черная, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
1200х300, модуль раскладки набран из двух типов элементов."
54,P_D_01,PAV-PRD1-MAT6-PAT19-BST2,Террасная доска,m2,P_D_01.jpg,Доска из лиственницы. габарит 26х140х3000.
55,P_G_01_a,PAV-PRD1-MAT1-8-PAT20-BST1,Георешетка с квадратным модулем,m2,P_G_01.jpg,"Бетонная георешетка светло-серого оттенка, габариты эле-
ментов 610х610, заполнение швов возможно растительно-
стью, набивным покрытием. применение: парковки, проезды,
дворы."
56,P_G_01_b,PAV-PRD1-MAT1-8-PAT20-BST2,Георешетка с квадратным модулем,m2,P_G_01.jpg,"Бетонная георешетка светло-серого оттенка, габариты эле-
ментов 610х610, заполнение швов возможно растительно-
стью, набивным покрытием. применение: парковки, проезды,
дворы."
57,P_G_02_a,PAV-PRD1-MAT1-5-PAT21-BST1,Георешетка с круглым модулем,m2,P_G_02.jpg,"Самоблокирующийся бетонный блок светло-серого оттенка,
габариты элементов 450х600, заполнение швов возможно
растительностью, набивным покрытием. применение: пар-
ковки, проезды, дворы."
