alias,code,title,units,image_file,description
P_C_24_a,PAV-PRD1-MAT1-PAT10-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_24.jpg,"Одноцветное мощение, светло-серая плитка с гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_24_b,PAV-PRD1-MAT1-PAT10-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_24.jpg,"Одноцветное мощение, светло-серая плитка с гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_25_a,PAV-PRD1-MAT1-5-PAT11-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_25.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_25_b,PAV-PRD1-MAT1-5-PAT11-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_25.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_26_a,PAV-PRD1-MAT1-8-PAT12-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_26.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_26_b,PAV-PRD1-MAT1-8-PAT12-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_26.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_27_a,PAV-PRD1-MAT1-5-PAT13-COL1-2-BST1,Плитка фибробетонная модульная,m2,P_C_27.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из трех типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_27_b,PAV-PRD1-MAT1-5-PAT13-COL1-2-BST2,Плитка фибробетонная модульная,m2,P_C_27.jpg,"Одноцветное мощение, светло-серая плитка с гладкой
поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 1200х300 , модуль раскладки
набран из трех типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_28_a,PAV-PRD1-MAT1-PAT14-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_28.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_28_b,PAV-PRD1-MAT1-PAT14-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_28.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_29_a,PAV-PRD1-MAT1-5-PAT15-COL2-BST1,Плитка фибробетонная модульная,m2,P_C_29.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_29_b,PAV-PRD1-MAT1-5-PAT15-COL2-BST2,Плитка фибробетонная модульная,m2,P_C_29.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_30_a,PAV-PRD1-MAT1-5-PAT16-COL1-2-BST1,Плитка фибробетонная модульная,m2,P_C_30.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_30_b,PAV-PRD1-MAT1-5-PAT16-COL1-2-BST2,Плитка фибробетонная модульная,m2,P_C_30.jpg,"Одноцветное модульное светлое мощение, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной толщины с
засыпкой цпс, габариты элементов 600х1200, модуль раскладки
набран из двух типов элементов. возможно замещение
элементов набивным покрытием, либо растительностью по
принципу “исчезающего модуля”."
P_C_31_a,PAV-PRD1-MAT1-PAT17-COL1-2-BST1,Плитка фибробетонная модульная,m2,P_C_31.jpg,"Двухцветное мощение, черная, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
1200х300, модуль раскладки набран из двух типов элементов."
P_C_31_b,PAV-PRD1-MAT1-PAT17-COL1-2-BST2,Плитка фибробетонная модульная,m2,P_C_31.jpg,"Двухцветное мощение, черная, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
1200х300, модуль раскладки набран из двух типов элементов."
P_C_32_a,PAV-PRD1-MAT1-PAT18-COL1-2-BST1,Плитка фибробетонная модульная,m2,P_C_32.jpg,"Двухцветное мощение, черная, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
1200х300, модуль раскладки набран из двух типов элементов."
P_C_32_b,PAV-PRD1-MAT1-PAT18-COL1-2-BST2,Плитка фибробетонная модульная,m2,P_C_32.jpg,"Двухцветное мощение, черная, светло-серая плитка с
гладкой поверхностью элементов, швы минимальной
толщины с засыпкой цпс, габариты элементов 
1200х300, модуль раскладки набран из двух типов элементов."
